case_code,market_name,addr,business_week,context,ValidDate,Latitude,Lontitude,type,badge_code,business_hours,business_hurs_end,last_edited_date
2020113000082,摩斯漢堡-內壢環東店,桃園市中壢區環中東路266號1.2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.962052,121.25466,餐飲,B000518,06:00,22:00,2024/05/02 10:30:21
2020113000078,摩斯漢堡-桃捷A9店,新北市林口區文化三路一段2號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.066147,121.361399,餐飲,B000508,11:00,22:00,2024/05/02 10:30:19
2020113000077,摩斯漢堡-桃園國際機場第一航廈,桃園市大園區航站南路15號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.081382,121.237422,餐飲,B000506,06:00,22:00,2024/05/02 10:30:19
2020113000075,摩斯漢堡-士林捷運店,臺北市士林區中正路225號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.095231,121.526229,餐飲,B000502,06:00,22:00,2024/05/02 10:30:18
2020113000072,摩斯漢堡-三創店,臺北市中正區市民大道三段2號(三創生活園區B2),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.045632,121.531021,餐飲,B000436,11:00,20:00,2024/05/02 10:30:17
2020113000070,摩斯漢堡-桃捷A7店,桃園市龜山區文化一路688號(A7體育大學站B1樓),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.041226,121.385132,餐飲,B000422,07:00,20:00,2024/05/02 10:30:16
2020113000071,摩斯漢堡-桃捷A5店,新北市泰山區新北大道四段431號(A5泰山站1樓),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.052813,121.439538,餐飲,B000430,11:00,20:00,2024/05/02 10:30:17
2020113000069,摩斯漢堡-桃捷A21店,桃園市中壢區中豐北路一段26號(A21環北站B1樓),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.967079,121.221099,餐飲,B000416,06:00,22:00,2024/05/02 10:30:16
2020113000068,摩斯漢堡-新莊新泰店,新北市新莊區新泰路103號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.03506,121.448971,餐飲,B000404,07:00,21:30,2024/05/02 10:30:15
2020113000065,摩斯漢堡-台北站前店,臺北市中正區忠孝西路一段50號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.046303,121.515823,餐飲,B000369,09:00,17:00,2024/05/02 10:30:14
2020113000062,摩斯漢堡-新北中和店,新北市中和區中和路13號1至5樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,25.00213,121.49981,餐飲,B000351,06:00,22:00,2024/05/02 10:30:13
2020113000064,摩斯漢堡 木柵動物園店,臺北市文山區新光路二段30號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.998739,121.581228,餐飲,B000363,08:00,20:00,2024/05/02 10:30:14
2020113000058,摩斯漢堡-桃園桃鶯店,桃園市桃園區桃鶯路313號1樓、2樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.982481,121.319339,餐飲,B000335,07:00,20:30,2024/05/02 10:30:11
2020113000056,摩斯漢堡-泰安北服務區店,臺中市后里區月眉里九甲七路400號(北站A棟2樓A-16),星期一，星期二，星期三，星期四，星期五，星期六，星期日,安心食品為台灣第一家引進的日式速食業者（MOS），以提供好吃的摩斯米漢 堡為特色，深耕在地，邁入第29個年頭。摩斯漢堡極度重視食品安全，以高規格、 高品質致力於提升顧客服務與維護顧客飲食健康。,2026/12/02 00:00:00,24.328389,120.716702,餐飲,B000319,07:00,21:00,2024/05/02 10:30:10
