年度	期別	課程總門數（筆數）	開課月份	課程名稱	授課講師	課程時間	上課人數	備註
110年	第1期	2	3至6月	外勤業務人員之勞資爭議與規範	葛百鈴	6月2日(第2堂)	0	疫情取消
110年	第1期	1	3至6月	勞動基準法入門班(第2場)	張軒豪	6月4日	66	改期7/16視訊
110年	第1期	3	3至6月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	6月17日	0	疫情取消
110年	第1期	3	3至6月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	6月24日	0	疫情取消
110年	第1期	3	3至6月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	6月29日	0	疫情取消
110年	第2期	1	8至11月	減班休息(無薪休假)應注意事項、常見爭議與勞動權益	李柏毅	8月31日	183	視訊課程
110年	第2期	2	8至11月	外勤業務人員之勞資爭議與規範	葛百鈴	9月1日	131	視訊課程
110年	第2期	2	8至11月	外勤業務人員之勞資爭議與規範	葛百鈴	9月2日	132	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：非典型勞動契約(兼職、派遣、定期契約勞工等)之勞工權益與實務解析	林俊宏	9月8日	181	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：勞動準基法84條之1「責任制」相關規範、勞動權益與實務	程居威	9月10日	173	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：認識勞動契約-訂定原則、約定事項及相關爭議	蔡晴羽	9月13日	155	視訊課程
110年	第2期	1	8至11月	雇主各項防疫措施暨工作指派之法律界限	李柏毅	9月16日	157	視訊課程
110年	第2期	1	8至11月	性別工作平等法之實務判例與解析	劉素吟	9月22日	106	視訊課程
110年	第2期	1	8至11月	勞動基準法入門班(第1場)	張軒豪	9月24日	143	視訊課程
110年	第2期	2	8至11月	工時、工資認定與爭議	蔡菘萍	9月27日	170	視訊課程
110年	第2期	2	8至11月	工時、工資認定與爭議	蔡菘萍	9月28日	160	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：勞動三權之時事案例與解析	陳淑綸	10月4日	58	視訊課程
110年	第2期	5	8至11月	勞動基準法基礎及相關法令(共5堂)	廖蕙芳	10月7日(第1堂)	171	視訊課程
110年	第2期	5	8至11月	勞動基準法基礎及相關法令(共5堂)	廖蕙芳	10月14日(第2堂)	155	視訊課程
110年	第2期	5	8至11月	勞動基準法基礎及相關法令(共5堂)	廖蕙芳	10月21日(第3堂)	159	視訊課程
110年	第2期	5	8至11月	勞動基準法基礎及相關法令(共5堂)	廖蕙芳	10月28日(第4堂)	157	視訊課程
110年	第2期	5	8至11月	勞動基準法基礎及相關法令(共5堂)	廖蕙芳	11月4日(第5堂)	151	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：工作規則之訂定、生效與變更	李有容	10月12日	124	視訊課程
110年	第2期	3	8至11月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	10月25日(第1堂)	97	視訊課程
110年	第2期	3	8至11月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	10月27日(第2堂)	80	視訊課程
110年	第2期	3	8至11月	(全日班)勞動基準法及相關法令剖析★(非正規教育課程學分認證班)	邱駿彥	11月1日(第3堂)	86	視訊課程
110年	第2期	1	8至11月	如何創造友善工作職場-從修訂育嬰留職停薪實施辦法談起	王如玄	11月3日	39	視訊課程
110年	第2期	1	8至11月	勞動基準法入門班(第2場)	張軒豪	11月5日	107	視訊課程
110年	第2期	2	8至11月	勞動契約終止之各種態樣分析與實務操作	邱羽凡	11月8日(第1堂)	132	視訊課程
110年	第2期	2	8至11月	勞動契約終止之各種態樣分析與實務操作	邱羽凡	11月10日(第2堂)	127	視訊課程
110年	第2期	1	8至11月	勞資爭議處理機制大PK-勞動事件法VS勞資爭議處理法	黃馨慧	11月11日	117	視訊課程
110年	第2期	1	8至11月	勞動權益輕鬆學：輪班工作之工時、加班與休假	翁瑋	11月15日	97	視訊課程
110年	第2期	1	8至11月	(全日班)職災案例分析及勞工身心健康維護	王安祥	11月19日	87	視訊課程
110年	第2期	1	8至11月	老闆說了算？非法解僱有法辦	葉建廷	11月23日	81	視訊課程
109年	第1期	5	3至6月	勞動基準法及相關法令剖析(共5堂)	廖蕙芳	4月30日	0	疫情取消
109年	第1期	5	3至6月	勞動基準法及相關法令剖析(共5堂)	廖蕙芳	5月8日	0	疫情取消
109年	第1期	5	3至6月	勞動基準法及相關法令剖析(共5堂)	廖蕙芳	5月15日	0	疫情取消
109年	第1期	5	3至6月	勞動基準法及相關法令剖析(共5堂)	廖蕙芳	5月22日	0	疫情取消
109年	第1期	5	3至6月	勞動基準法及相關法令剖析(共5堂)	廖蕙芳	6月5日	0	疫情取消
109年	第1期	3	3至6月	勞動基準法及相關法令剖析(共3堂)	邱駿彥	6月11日	0	疫情取消
109年	第1期	3	3至6月	勞動基準法及相關法令剖析(共4堂)	邱駿彥	6月18日	0	疫情取消
109年	第1期	3	3至6月	勞動基準法及相關法令剖析(共5堂)	邱駿彥	6月23日	0	疫情取消
109年	第1期	1	3至6月	勞動權益輕鬆學：認識勞工請假規則	林俊宏	3月30日	0	疫情取消
109年	第1期	1	3至6月	勞動權益輕鬆學：勞工必懂的「勞動事件法」七大重點與勞動事件調解制度	葛百鈴	4月15日	0	疫情取消
109年	第1期	1	3至6月	勞動權益輕鬆學：團體協約(勞資會議)簽訂之法制與實務案例	廖蕙芳	3月19日	0	疫情取消
109年	第1期	1	3至6月	勞動權益輕鬆學：從平台經濟談僱傭、承攬關係之權利差異	陳淑綸	5月26日	0	疫情取消
109年	第1期	1	3至6月	勞動權益輕鬆學：認識勞動契約（以勞動契約的認定、終止及勞動條件為例）及工作規則	葉建廷	5月28日	0	疫情取消
109年	第1期	2	3至6月	勞動權益輕鬆學：工時、排班、加班費解析與實務案例	張軒豪	4月21日	0	疫情取消
109年	第1期	2	3至6月	勞動權益輕鬆學：工時、排班、加班費解析與實務案例	張軒豪	4月28日	0	疫情取消
109年	第1期	2	3至6月	從招募、調動、終止契約談雇主常見之違法行為	黃馨慧	4月6日	0	疫情取消
109年	第1期	2	3至6月	從招募、調動、終止契約談雇主常見之違法行為	黃馨慧	4月13日	0	疫情取消
109年	第1期	1	3至6月	調解前勞資雙方應作之準備：個人權利事項爭議篇	蔡晴羽	4月22日	0	疫情取消
109年	第1期	2	3至6月	常見工時與工資爭議調解案件解析	陳逢源	3月24日	0	疫情取消
109年	第1期	2	3至6月	常見工時與工資爭議調解案件解析	陳逢源	3月31日	0	疫情取消
109年	第1期	2	3至6月	勞資會議運作及常見爭議問題類型	朱瑞陽	5月7日	0	疫情取消
109年	第1期	2	3至6月	勞資會議運作及常見爭議問題類型	朱瑞陽	5月19日	0	疫情取消
109年	第1期	1	3至6月	從醫療實務談職災傷病(含過勞)之判定、職災傷病(含過勞)認定及補償之法院實務研討	蔡瑞元、程居威	4月17日	0	疫情取消
109年	第1期	1	3至6月	職場性別平權與防範措施	王如玄	4月9日	0	疫情取消
109年	第1期	1	3至6月	職災案例分析及勞工身心健康維護	王安祥	5月6日	0	疫情取消
109年	第1期	3	3至6月	就業者的勞動生涯保障-勞就保與勞工退休金(第1堂)	溫燕妹	6月2日	0	疫情取消
109年	第1期	3	3至6月	就業者的勞動生涯保障-勞就保與勞工退休金(第2堂)	溫燕妹	6月9日	0	疫情取消
109年	第1期	3	3至6月	就業者的勞動生涯保障-勞就保與勞工退休金(第3堂)	溫燕妹	6月16日	0	疫情取消
109年	第2期	5	8至11月	勞動基準法及相關法令剖析(第1堂)	廖蕙芳	9月1日	84	
109年	第2期	5	8至11月	勞動基準法及相關法令剖析(第2堂)	廖蕙芳	9月8日	85	
109年	第2期	5	8至11月	勞動基準法及相關法令剖析(第3堂)	廖蕙芳	9月15日	84	
109年	第2期	5	8至11月	勞動基準法及相關法令剖析(第4堂)	廖蕙芳	9月22日	83	
109年	第2期	5	8至11月	勞動基準法及相關法令剖析(第5堂)	廖蕙芳	9月29日	77	
109年	第2期	3	8至11月	勞動基準法及相關法令剖析(學分班)(第1堂)	邱駿彥	8月11日	71	
109年	第2期	3	8至11月	勞動基準法及相關法令剖析(學分班)(第2堂)	邱駿彥	8月18日	71	
109年	第2期	3	8至11月	勞動基準法及相關法令剖析(學分班)(第3堂)	邱駿彥	8月25日	68	
109年	第2期	1	8至11月	勞動權益輕鬆學：認識勞工請假規則	林俊宏	8月24日	87	
109年	第2期	1	8至11月	勞動權益輕鬆學：團體協約簽訂之法制與實務案例	林垕君	10月14日	53	
109年	第2期	1	8至11月	疫病危機對勞動市場的影響與對策	林佳和	11月5日	73	
109年	第2期	1	8至11月	勞動權益輕鬆學：認識勞動契約（以勞動契約的認定、終止及勞動條件為例）及工作規則	葉建廷	9月4日	93	
109年	第2期	2	8至11月	勞動權益輕鬆學：工時、排班、加班費解析與實務案例	張軒豪	11月3日	83	
109年	第2期	2	8至11月	勞動權益輕鬆學：工時、排班、加班費解析與實務案例	張軒豪	11月10日	81	
109年	第2期	2	8至11月	從招募、調動、終止契約談雇主常見之違法行為	黃馨慧	8月3日	89	
109年	第2期	2	8至11月	從招募、調動、終止契約談雇主常見之違法行為	黃馨慧	8月10日	90	
109年	第2期	1	8至11月	調解前勞資雙方應作之準備：個人權利事項爭議篇	蔡晴羽	9月25日	89	
109年	第2期	2	8至11月	常見工時與工資爭議調解案件解析	陳逢源	8月13日	90	
109年	第2期	2	8至11月	常見工時與工資爭議調解案件解析	陳逢源	8月20日	87	
109年	第2期	2	8至11月	勞工必懂的「勞動事件法」七大重點與勞動事件調解制度	葛百鈴	9月16日	88	
109年	第2期	2	8至11月	勞工必懂的「勞動事件法」七大重點與勞動事件調解制度	葛百鈴	9月23日	85	
109年	第2期	1	8至11月	工會角色在勞動事件法的運作實務	陳淑綸	10月13日	41	
109年	第2期	1	8至11月	從醫療實務談職災傷病(含過勞)之判定	蔡瑞元	10月6日	79(上午班)	
109年	第2期	1	8至11月	從醫療實務談職災傷病(含過勞)之判定	程居威	10月7日	79(下午班)	
109年	第2期	1	8至11月	職場性別平權與防範措施	王如玄	9月10日	82	
109年	第2期	1	8至11月	職災案例分析及勞工身心健康維護	王安祥	8月5日	75	
